
	ON SECURITY SYSTEM WINDOW 
		Wed Sep 19 19:24:00 2018

	ON THE REMOVING WINDOW
		Wed Sep 19 19:24:04 2018

	ON THE MODIFICATION WINDOW
		Wed Sep 19 19:24:16 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Sep 19 19:24:18 2018

	ON THE MODIFICATION WINDOW
		Wed Sep 19 19:24:21 2018

	ON THE MAIN SCRREN
		Wed Sep 19 19:24:27 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Sep 19 19:24:28 2018

	ON THE MAIN SCRREN
		Wed Sep 19 19:24:31 2018

	ON THE MAIN SCRREN
		Wed Sep 19 19:24:54 2018

	ON THE MAIN SCRREN
		Wed Sep 19 19:40:56 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Sep 19 19:40:57 2018

	ON THE MAIN SCRREN
		Wed Sep 19 19:40:58 2018

	ON THE ADMIN PORTAL
		Wed Sep 19 19:40:59 2018

	LOGINED IN THE ADMIN PORTAL
		Wed Sep 19 19:41:01 2018

	ON THE MODIFICATION WINDOW
		Wed Sep 19 19:41:02 2018

	ADDED NEW ITEM IN THE SHOP 
		2 COPIES OF a
			Wed Sep 19 19:41:03 2018

	ON THE MODIFICATION WINDOW
		Wed Sep 19 19:41:11 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Sep 19 19:41:12 2018

	ON THE MODIFICATION WINDOW
		Wed Sep 19 19:41:13 2018

	ON THE MODIFICATION WINDOW
		Wed Sep 19 19:41:27 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Sep 19 19:41:29 2018

	ON THE MODIFICATION WINDOW
		Wed Sep 19 19:41:30 2018

	ADDED NEW ITEM IN THE SHOP 
		1 COPIES OF a
			Wed Sep 19 19:41:31 2018

	ON THE MODIFICATION WINDOW
		Wed Sep 19 19:41:38 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Sep 19 19:41:40 2018

	ON THE MODIFICATION WINDOW
		Wed Sep 19 19:41:41 2018

	ON THE REMOVING WINDOW
		Wed Sep 19 19:41:44 2018

	ON THE MODIFICATION WINDOW
		Wed Sep 19 19:41:48 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Sep 19 19:41:49 2018

	ON THE MODIFICATION WINDOW
		Wed Sep 19 19:41:52 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Sep 19 19:41:53 2018

	ON THE MODIFICATION WINDOW
		Wed Sep 19 19:41:54 2018

	ADDED NEW ITEM IN THE SHOP 
		2 COPIES OF a
			Wed Sep 19 19:41:55 2018

	ADDED NEW ITEM IN THE SHOP 
		1 COPIES OF a
			Wed Sep 19 19:42:04 2018

	ADDED NEW ITEM IN THE SHOP 
		2 COPIES OF c
			Wed Sep 19 19:42:10 2018

	ON THE MODIFICATION WINDOW
		Wed Sep 19 19:42:18 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Sep 19 19:42:19 2018

	ON THE MODIFICATION WINDOW
		Wed Sep 19 19:42:22 2018

	ON THE REMOVING WINDOW
		Wed Sep 19 19:42:23 2018

	ON THE MODIFICATION WINDOW
		Wed Sep 19 19:42:26 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Sep 19 19:42:28 2018

	ON THE MODIFICATION WINDOW
		Wed Sep 19 19:42:30 2018

	ON THE MAIN SCRREN
		Wed Sep 19 19:42:32 2018

	ON THE MAIN SCRREN
		Thu Sep 20 14:35:39 2018

	ON THE ADMIN PORTAL
		Thu Sep 20 14:35:41 2018

	LOGINED IN THE ADMIN PORTAL
		Thu Sep 20 14:35:43 2018

	ON THE MAIN SCRREN
		Thu Sep 20 14:35:50 2018

	ON THE ADMIN PORTAL
		Thu Sep 20 14:35:51 2018

	FAILED ATTEMPT IN ADMIN PORTAL
		Thu Sep 20 14:36:02 2018

	ON THE MAIN SCRREN
		Thu Sep 20 14:36:03 2018

	ON THE MAIN SCRREN
		Thu Sep 20 14:40:39 2018

	ON THE ADMIN PORTAL
		Thu Sep 20 14:40:40 2018

	LOGINED IN THE ADMIN PORTAL
		Thu Sep 20 14:40:42 2018

	ON THE MAIN SCRREN
		Thu Sep 20 14:40:47 2018

	ON THE ADMIN PORTAL
		Thu Sep 20 14:40:48 2018

	FAILED ATTEMPT IN ADMIN PORTAL
		Thu Sep 20 14:41:04 2018

	ON THE MAIN SCRREN
		Thu Sep 20 14:41:05 2018

	ON THE ADMIN PORTAL
		Thu Sep 20 14:41:06 2018

	FAILED ATTEMPT IN ADMIN PORTAL
		Thu Sep 20 14:41:20 2018

	ON THE MAIN SCRREN
		Thu Sep 20 14:41:20 2018

	ON THE ADMIN PORTAL
		Thu Sep 20 14:41:21 2018

	LOGINED IN THE ADMIN PORTAL
		Thu Sep 20 14:41:22 2018

	ON PROFILE WINDOW 
		Thu Sep 20 14:41:26 2018

	ON THE MAIN SCRREN
		Thu Sep 20 14:41:30 2018

	ON THE MAIN SCRREN
		Thu Sep 20 14:45:45 2018

	ON THE ADMIN PORTAL
		Thu Sep 20 14:45:47 2018

	FAILED ATTEMPT IN ADMIN PORTAL
		Thu Sep 20 14:46:09 2018

	ON THE MAIN SCRREN
		Thu Sep 20 14:46:09 2018

	ON THE ADMIN PORTAL
		Thu Sep 20 14:46:10 2018

	LOGINED IN THE ADMIN PORTAL
		Thu Sep 20 14:46:14 2018

	ON THE MAIN SCRREN
		Thu Sep 20 14:46:17 2018

	ON THE ADMIN PORTAL
		Thu Sep 20 14:46:18 2018

	FAILED ATTEMPT IN ADMIN PORTAL
		Thu Sep 20 14:46:34 2018

	ON THE MAIN SCRREN
		Thu Sep 20 14:46:34 2018

	ON THE MAIN SCRREN
		Thu Sep 20 14:48:37 2018

	ON THE ADMIN PORTAL
		Thu Sep 20 14:48:38 2018

	FAILED ATTEMPT IN ADMIN PORTAL
		Thu Sep 20 14:49:12 2018

	ON THE MAIN SCRREN
		Thu Sep 20 14:49:13 2018

	ON THE ADMIN PORTAL
		Thu Sep 20 14:49:14 2018

	LOGINED IN THE ADMIN PORTAL
		Thu Sep 20 14:49:15 2018

	ON THE MAIN SCRREN
		Thu Sep 20 14:49:16 2018

	ON THE MAIN SCRREN
		Thu Sep 20 14:50:52 2018

	ON THE ADMIN PORTAL
		Thu Sep 20 14:50:53 2018

	FAILED ATTEMPT IN ADMIN PORTAL
		Thu Sep 20 14:52:25 2018

	ON THE MAIN SCRREN
		Thu Sep 20 14:52:27 2018

	ON THE MAIN SCRREN
		Thu Sep 20 14:55:28 2018

	ON THE ADMIN PORTAL
		Thu Sep 20 14:55:30 2018

	LOGINED IN THE ADMIN PORTAL
		Thu Sep 20 14:55:53 2018

	ON THE MAIN SCRREN
		Thu Sep 20 14:55:56 2018

	ON THE MAIN SCRREN
		Thu Sep 20 14:56:23 2018

	ON THE ADMIN PORTAL
		Thu Sep 20 14:56:25 2018

	LOGINED IN THE ADMIN PORTAL
		Thu Sep 20 14:56:53 2018

	ON THE MAIN SCRREN
		Thu Sep 20 14:57:00 2018

	ON THE MAIN SCRREN
		Mon Sep 24 23:19:41 2018

	SEEN THE ITEMS IN THE SHOP
		Mon Sep 24 23:19:41 2018

	ON THE MAIN SCRREN
		Mon Sep 24 23:19:42 2018

	ON THE ADMIN PORTAL
		Mon Sep 24 23:19:43 2018

	LOGINED IN THE ADMIN PORTAL
		Mon Sep 24 23:19:57 2018

	ON THE MODIFICATION WINDOW
		Mon Sep 24 23:19:58 2018

	SEEN THE ITEMS IN THE SHOP
		Mon Sep 24 23:19:58 2018

	ON THE MODIFICATION WINDOW
		Mon Sep 24 23:20:03 2018

	ON THE REMOVING WINDOW
		Mon Sep 24 23:20:04 2018

	ON THE MODIFICATION WINDOW
		Mon Sep 24 23:20:17 2018

	SEEN THE ITEMS IN THE SHOP
		Mon Sep 24 23:20:19 2018

	ON THE MODIFICATION WINDOW
		Mon Sep 24 23:20:20 2018

	ON THE MAIN SCRREN
		Mon Sep 24 23:20:24 2018

	ON THE MAIN SCRREN
		Mon Sep 24 23:23:20 2018

	SEEN THE ITEMS IN THE SHOP
		Mon Sep 24 23:23:21 2018

	ON THE MAIN SCRREN
		Mon Sep 24 23:23:22 2018

	ON THE MAIN SCRREN
		Mon Sep 24 23:23:25 2018

	SEEN THE ITEMS IN THE SHOP
		Mon Sep 24 23:23:27 2018

	ON THE MAIN SCRREN
		Mon Sep 24 23:23:29 2018

	ON THE ADMIN PORTAL
		Mon Sep 24 23:23:30 2018

	LOGINED IN THE ADMIN PORTAL
		Mon Sep 24 23:23:44 2018

	ON THE MODIFICATION WINDOW
		Mon Sep 24 23:23:45 2018

	ON THE REMOVING WINDOW
		Mon Sep 24 23:23:46 2018

	ON THE MODIFICATION WINDOW
		Mon Sep 24 23:23:54 2018

	SEEN THE ITEMS IN THE SHOP
		Mon Sep 24 23:23:57 2018

	ON THE MODIFICATION WINDOW
		Mon Sep 24 23:24:04 2018

	ON THE REMOVING WINDOW
		Mon Sep 24 23:24:05 2018

	ON THE MODIFICATION WINDOW
		Mon Sep 24 23:24:09 2018

	SEEN THE ITEMS IN THE SHOP
		Mon Sep 24 23:24:11 2018

	ON THE MODIFICATION WINDOW
		Mon Sep 24 23:24:19 2018

	ON THE REMOVING WINDOW
		Mon Sep 24 23:24:20 2018

	ON THE MODIFICATION WINDOW
		Mon Sep 24 23:24:27 2018

	SEEN THE ITEMS IN THE SHOP
		Mon Sep 24 23:24:28 2018

	ON THE MODIFICATION WINDOW
		Mon Sep 24 23:24:39 2018

	ON THE MAIN SCRREN
		Mon Sep 24 23:24:42 2018

	ON THE MAIN SCRREN
		Mon Sep 24 23:27:11 2018

	SEEN THE ITEMS IN THE SHOP
		Mon Sep 24 23:27:12 2018

	ON THE MAIN SCRREN
		Mon Sep 24 23:27:36 2018

	ON THE ADMIN PORTAL
		Mon Sep 24 23:27:36 2018

	LOGINED IN THE ADMIN PORTAL
		Mon Sep 24 23:27:50 2018

	ON THE MODIFICATION WINDOW
		Mon Sep 24 23:27:52 2018

	ON THE REMOVING WINDOW
		Mon Sep 24 23:27:53 2018

	ON THE MODIFICATION WINDOW
		Mon Sep 24 23:28:00 2018

	SEEN THE ITEMS IN THE SHOP
		Mon Sep 24 23:28:02 2018

	ON THE MODIFICATION WINDOW
		Mon Sep 24 23:28:03 2018

	ON THE REMOVING WINDOW
		Mon Sep 24 23:28:06 2018

	ON THE MODIFICATION WINDOW
		Mon Sep 24 23:28:13 2018

	SEEN THE ITEMS IN THE SHOP
		Mon Sep 24 23:28:14 2018

	ON THE MODIFICATION WINDOW
		Mon Sep 24 23:28:18 2018

	ON THE MAIN SCRREN
		Mon Sep 24 23:28:20 2018

	ON THE MAIN SCRREN
		Mon Sep 24 23:36:48 2018

	SEEN THE ITEMS IN THE SHOP
		Mon Sep 24 23:36:49 2018

	ON THE MAIN SCRREN
		Mon Sep 24 23:36:52 2018

	ON THE ADMIN PORTAL
		Mon Sep 24 23:36:54 2018

	LOGINED IN THE ADMIN PORTAL
		Mon Sep 24 23:37:07 2018

	ON THE MODIFICATION WINDOW
		Mon Sep 24 23:37:08 2018

	ADDED NEW ITEM IN THE SHOP 
		1 COPIES OF b
			Mon Sep 24 23:37:09 2018

	ON THE MODIFICATION WINDOW
		Mon Sep 24 23:37:23 2018

	SEEN THE ITEMS IN THE SHOP
		Mon Sep 24 23:37:24 2018

	ON THE MODIFICATION WINDOW
		Mon Sep 24 23:37:41 2018

	ADDED NEW ITEM IN THE SHOP 
		2 COPIES OF f
			Mon Sep 24 23:37:42 2018

	ON THE MODIFICATION WINDOW
		Mon Sep 24 23:37:51 2018

	SEEN THE ITEMS IN THE SHOP
		Mon Sep 24 23:37:53 2018

	ON THE MODIFICATION WINDOW
		Mon Sep 24 23:38:33 2018

	ON THE MAIN SCRREN
		Mon Sep 24 23:38:36 2018

	ON THE MAIN SCRREN
		Thu Oct 11 15:03:27 2018

	ON THE MAIN SCRREN
		Fri Oct 12 14:00:52 2018

	ON THE ADMIN PORTAL
		Fri Oct 12 14:01:01 2018

	LOGINED IN THE ADMIN PORTAL
		Fri Oct 12 14:01:15 2018

	ON BANK ACCOUNT WINDOW 
		Fri Oct 12 14:01:17 2018

	ON THE ACCOUNT DETAILS WINDOW
		Fri Oct 12 14:01:18 2018

	ON BANK ACCOUNT WINDOW 
		Fri Oct 12 14:01:19 2018

	ON THE MAIN SCRREN
		Fri Oct 12 14:01:22 2018

	ON THE MAIN SCRREN
		Fri Oct 12 14:01:24 2018

	ON THE ADMIN PORTAL
		Fri Oct 12 14:01:26 2018

	LOGINED IN THE ADMIN PORTAL
		Fri Oct 12 14:01:41 2018

	ON MODIFICATION OF FILES WINDOW 
		Fri Oct 12 14:01:45 2018

	ON SECURITY SYSTEM WINDOW 
		Fri Oct 12 14:01:57 2018

	ON CHANGE QUESTION ANSWER WINDOW 
		Fri Oct 12 14:02:00 2018

	ON THE MAIN SCRREN
		Fri Oct 12 14:02:05 2018

	ON THE MAIN SCRREN
		Wed Oct 17 20:38:29 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 20:38:30 2018

	ON THE MAIN SCRREN
		Wed Oct 17 20:38:31 2018

	ON THE ADMIN PORTAL
		Wed Oct 17 20:38:32 2018

	LOGINED IN THE ADMIN PORTAL
		Wed Oct 17 20:38:49 2018

	ON THE MODIFICATION WINDOW
		Wed Oct 17 20:38:50 2018

	ON THE REMOVING WINDOW
		Wed Oct 17 20:38:51 2018

	ON THE MODIFICATION WINDOW
		Wed Oct 17 20:38:55 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 20:38:57 2018

	ON THE MODIFICATION WINDOW
		Wed Oct 17 20:38:59 2018

	ADDED NEW ITEM IN THE SHOP 
		1 COPIES OF MONITOR
			Wed Oct 17 20:39:00 2018

	ON THE MODIFICATION WINDOW
		Wed Oct 17 20:39:17 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 20:39:19 2018

	ON THE MODIFICATION WINDOW
		Wed Oct 17 20:39:22 2018

	ADDED NEW ITEM IN THE SHOP 
		20 COPIES OF MONITOR
			Wed Oct 17 20:39:25 2018

	ON THE MODIFICATION WINDOW
		Wed Oct 17 20:39:45 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 20:39:46 2018

	ON THE MODIFICATION WINDOW
		Wed Oct 17 20:39:55 2018

	ON THE MAIN SCRREN
		Wed Oct 17 20:39:57 2018

	ON THE MAIN SCRREN
		Wed Oct 17 20:52:56 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 20:52:57 2018

	ON THE MAIN SCRREN
		Wed Oct 17 20:53:00 2018

	ON THE MAIN SCRREN
		Wed Oct 17 20:53:59 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 20:53:59 2018

	ON THE MAIN SCRREN
		Wed Oct 17 20:54:02 2018

	IN THE SHOP
		Wed Oct 17 20:54:03 2018

	WENT TO PURCHASE ITEM
		Wed Oct 17 20:54:03 2018

	PURCHASED 1 MONITOR
		Wed Oct 17 20:54:11 2018
			DEPOSITED 1.18
				NET BALANCE LEFT IN ADMIN ACCOUNT : 9603.539999
	ON THE MAIN SCRREN
		Wed Oct 17 20:54:15 2018

	ON THE ADMIN PORTAL
		Wed Oct 17 20:54:16 2018

	FAILED ATTEMPT IN ADMIN PORTAL
		Wed Oct 17 20:54:32 2018

	ON THE MAIN SCRREN
		Wed Oct 17 20:54:33 2018

	ON THE MAIN SCRREN
		Wed Oct 17 20:54:36 2018

	ON THE SECRET SCREEN
		Wed Oct 17 20:54:38 2018

	ON THE MAIN SCRREN
		Wed Oct 17 20:54:40 2018

	ON THE SECRET SCREEN
		Wed Oct 17 20:54:42 2018

	ON THE MAIN SCRREN
		Wed Oct 17 20:54:48 2018

	ON THE ADMIN PORTAL
		Wed Oct 17 20:54:49 2018

	FAILED ATTEMPT IN ADMIN PORTAL
		Wed Oct 17 20:55:10 2018

	ON THE MAIN SCRREN
		Wed Oct 17 20:55:11 2018

	ON THE ADMIN PORTAL
		Wed Oct 17 20:55:13 2018

	LOGINED IN THE ADMIN PORTAL
		Wed Oct 17 20:55:31 2018

	ON PROFILE WINDOW 
		Wed Oct 17 20:55:33 2018

	ON MODIFICATION OF FILES WINDOW 
		Wed Oct 17 20:55:36 2018

	ON REFRAL FILE WINDOW 
		Wed Oct 17 20:55:42 2018

	ON SECURITY SYSTEM WINDOW 
		Wed Oct 17 20:55:59 2018

	ON HISTORY WINDOW 
		Wed Oct 17 20:56:07 2018

	ON BANK ACCOUNT WINDOW 
		Wed Oct 17 20:56:18 2018

	ON THE ACCOUNT DETAILS WINDOW
		Wed Oct 17 20:56:19 2018

	ON BANK ACCOUNT WINDOW 
		Wed Oct 17 20:56:20 2018

	DEPOSITED MONEY IN THE ACCOUNT
		Wed Oct 17 20:56:21 2018

	ON BANK ACCOUNT WINDOW 
		Wed Oct 17 20:56:27 2018

	ON TRANSACTION DETAIL WINDOW 
		Wed Oct 17 20:56:30 2018

	ON BANK ACCOUNT WINDOW 
		Wed Oct 17 20:56:31 2018

	ON THE MODIFICATION WINDOW
		Wed Oct 17 20:56:34 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 20:56:36 2018

	ON THE MODIFICATION WINDOW
		Wed Oct 17 20:56:37 2018

	ON THE REMOVING WINDOW
		Wed Oct 17 20:56:38 2018

	ON THE MODIFICATION WINDOW
		Wed Oct 17 20:56:40 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 20:56:41 2018

	ON THE MODIFICATION WINDOW
		Wed Oct 17 20:56:42 2018

	ON THE MAIN SCRREN
		Wed Oct 17 20:56:46 2018

	IN THE SHOP
		Wed Oct 17 20:56:47 2018

	ON THE MAIN SCRREN
		Wed Oct 17 20:56:49 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:23:37 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:23:38 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:23:38 2018

	ON THE ADMIN PORTAL
		Wed Oct 17 21:23:39 2018

	LOGINED IN THE ADMIN PORTAL
		Wed Oct 17 21:23:57 2018

	ON THE MODIFICATION WINDOW
		Wed Oct 17 21:23:59 2018

	ADDED NEW ITEM IN THE SHOP 
		3 COPIES OF MONITOR
			Wed Oct 17 21:23:59 2018

	ON THE MODIFICATION WINDOW
		Wed Oct 17 21:24:21 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:24:22 2018

	ON THE MODIFICATION WINDOW
		Wed Oct 17 21:24:32 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:24:36 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:25:34 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:25:35 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:25:39 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:25:52 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:25:53 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:26:06 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:26:47 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:26:48 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:26:55 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:27:11 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:27:12 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:27:17 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:27:38 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:27:41 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:27:42 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:27:53 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:28:15 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:28:16 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:28:34 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:28:55 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:28:56 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:29:05 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:29:32 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:29:33 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:29:50 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:30:12 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:30:13 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:30:22 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:30:47 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:30:48 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:30:54 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:30:54 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:30:55 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:30:55 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:30:55 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:30:55 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:30:56 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:30:56 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:30:56 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:30:56 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:30:57 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:30:57 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:30:57 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:30:57 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:30:58 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:30:58 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:30:59 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:30:59 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:30:59 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:30:59 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:30:59 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:30:59 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:30:59 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:30:59 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:30:59 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:30:59 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:30:59 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:30:59 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:30:59 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:30:59 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:30:59 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:30:59 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:30:59 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:30:59 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:30:59 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:30:59 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:30:59 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:30:59 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:30:59 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:30:59 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:30:59 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:30:59 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:30:59 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:30:59 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:30:59 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:30:59 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:31:30 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:31:31 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:31:35 2018

	ON THE ADMIN PORTAL
		Wed Oct 17 21:31:37 2018

	LOGINED IN THE ADMIN PORTAL
		Wed Oct 17 21:31:54 2018

	ON THE MODIFICATION WINDOW
		Wed Oct 17 21:31:59 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:32:01 2018

	ON THE MODIFICATION WINDOW
		Wed Oct 17 21:32:03 2018

	ADDED NEW ITEM IN THE SHOP 
		4 COPIES OF MONITOR
			Wed Oct 17 21:32:04 2018

	ON THE MODIFICATION WINDOW
		Wed Oct 17 21:32:23 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:32:25 2018

	ON THE MODIFICATION WINDOW
		Wed Oct 17 21:32:26 2018

	ON THE MODIFICATION WINDOW
		Wed Oct 17 21:33:00 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:33:01 2018

	ON THE MODIFICATION WINDOW
		Wed Oct 17 21:33:05 2018

	ON THE MODIFICATION WINDOW
		Wed Oct 17 21:33:15 2018

	ADDED NEW ITEM IN THE SHOP 
		3 COPIES OF MONITOR
			Wed Oct 17 21:33:15 2018

	ON THE MODIFICATION WINDOW
		Wed Oct 17 21:33:44 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:33:45 2018

	ON THE MODIFICATION WINDOW
		Wed Oct 17 21:33:50 2018

	ON THE MODIFICATION WINDOW
		Wed Oct 17 21:34:10 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:34:11 2018

	ON THE MODIFICATION WINDOW
		Wed Oct 17 21:34:14 2018

	ON THE MODIFICATION WINDOW
		Wed Oct 17 21:34:38 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:34:39 2018

	ON THE MODIFICATION WINDOW
		Wed Oct 17 21:34:45 2018

	ADDED NEW ITEM IN THE SHOP 
		2 COPIES OF MONITOR
			Wed Oct 17 21:34:49 2018

	ADDED NEW ITEM IN THE SHOP 
		3 COPIES OF MOUSE
			Wed Oct 17 21:35:53 2018

	ADDED NEW ITEM IN THE SHOP 
		1 COPIES OF MOUSE
			Wed Oct 17 21:36:13 2018

	ADDED NEW ITEM IN THE SHOP 
		3 COPIES OF K-BOARD
			Wed Oct 17 21:36:27 2018

	ADDED NEW ITEM IN THE SHOP 
		3 COPIES OF K-BOARD
			Wed Oct 17 21:36:42 2018

	ON THE MODIFICATION WINDOW
		Wed Oct 17 21:36:58 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:36:59 2018

	ON THE MODIFICATION WINDOW
		Wed Oct 17 21:37:18 2018

	ADDED NEW ITEM IN THE SHOP 
		3 COPIES OF CPU
			Wed Oct 17 21:37:20 2018

	ADDED NEW ITEM IN THE SHOP 
		2 COPIES OF CPU
